user_id	place_id	rating
25	A1404173	3
6746	A1404175	5
49470	A1404180	5
23	A1404180	3
13849	A1404180	4
6746	A1404180	4
6227	A1404180	4
44335	A1404190	4
11711	A1404190	4
2194	A1404190	4
11711	A1404200	4
5512	A1404200	4
23	A1404200	3
2194	A1404200	3
22123	A1404200	5
44335	A1404200	4
3379	A1404200	4
15529	A1404200	4
6746	A1404200	4
10294	A1404200	4
10666	A1404240	5
1858	A1404240	5
11711	A1404250	3
18771	A1404250	5
2194	A1404250	5
15529	A1404260	4
2194	A1404381	5
10294	A1404381	5
14050	A1404400	3
53570	A1404400	5
2194	A1404400	4
6227	A1404410	4
6746	A1404490	5
13849	A1406000	4
6746	A1406000	4
6227	A1500100	4
2956	A1500300	5
55205	A1600120	4
55418	A1600120	5
48132	A1600120	5
40	A1600120	5
54620	A1600120	4
54453	A1600120	5
6746	A1600120	5
2194	A1600120	5
3379	A1600120	4
54819	A1600120	5
2194	A1600140	5
6746	A1600450	5
6746	A1600491	5
8372	A1600890	5
55063	A1601080	5
23	A1601100	4
23	A1601130	4
23	A1601131	4
55086	A1601230	4
34437	B1500050	3
5700	B1500090	5
54858	B1500090	5
6746	B1500090	4
6746	B1500150	5
2194	B1500281	4
6167	B1500282	4
2194	B1500431	5
51811	B1500580	4
6746	B1500950	5
5700	B1500950	5
6746	B1500960	5
5700	B1500960	4
23	B1501151	5
3379	B1501151	4
44335	B1501270	4
44335	B1501300	4
44335	B1501310	4
2194	B1501580	4
2194	B1501600	4
6746	B1501699	4
14050	B1501844	3
14155	B1501889	4
2956	B1501889	4
23	B1502015	4
6746	B1502015	5
48988	GT000284	3
33869	GT000311	4
33869	GT000627	4
33869	J0040313	5
33869	J0040313	5
42289	J0040358	4
42289	J0040358	4
14490	J0040472	5
33869	J0040485	5
6746	J0040485	5
48988	J0040515	4
44335	J0040515	4
13849	J0040758	4
3379	J0040758	4
2194	J0044233	4
14490	J0044237	4
3379	J0045553	5
33869	J0046735	4
44335	J0046735	4
11711	J0046735	4
5678	J0047043	4
33869	J0047619	4
1858	J0048949	4
6227	J0049094	4
6227	J0050100	4
2194	J0050102	4
11711	J0050108	4
11711	J0050108	4
6746	J0051577	4
2956	J0056932	5
6746	J0059819	5
1858	J0066114	4
6227	J0066139	4
6746	J0066222	5
18904	J0066525	4
14490	J0066649	5
47487	J0071098	5
31144	J0071150	4
47487	J0071261	4
22123	J0071321	5
14490	J0073960	4
22123	J0078098	5
6227	J0078116	4
6746	J0078925	5
6746	J0078927	2
6227	J0079677	4
6227	J0079693	4
44335	J0079765	3
6227	J0079765	4
53319	J0085337	3
33869	J0085484	4
14050	JA000001	4
30194	JA000001	4
2194	JA000001	5
18904	JA000001	5
53549	JA000001	4
2956	JA000001	4
1858	JA000001	5
6746	JA000001	5
52919	JA000002	5
11711	JA000002	5
2194	JA000002	4
1858	JA000002	5
18904	JA000002	4
33869	JA000004	5
18904	JA000004	5
42289	JA000004	4
10294	JA000004	4
53549	JA000004	3
1858	JA000004	5
5678	JA000004	5
3379	JB000094	3
5430	JB000113	5
2956	JB000113	5
23909	JB000125	4
18904	JB000176	5
22623	JB000176	4
5430	JB000176	5
5837	JB000176	5
23712	JB000176	5
3379	JB000176	3
6227	JB000177	4
2194	JB000178	4
5700	JB000179	5
22641	JB000179	4
6746	JB000179	4
2194	JB000180	4
6227	JB000181	5
3379	JB000181	3
11711	JC001012	5
3474	JC002152	5
5179	JC002169	3
2956	JC002172	5
3217	JD000000	5
6746	JD000028	5
44403	JD000106	1
18904	JE000110	4
53920	JF003200	5
6227	JF003430	4
2194	JF003430	5
54305	JF005085	1
3379	JK130104	3
36647	JK130107	4
55373	JK130107	5
2194	JM000219	4
6746	JM000219	5
31144	JM000221	5
31144	JM000264	4
6746	JN000120	4
5700	JN000130	4
6746	JN000130	4
10811	JP000051	5
49	JP000051	5
10912	JP000053	4
21001	JU000015	4
35811	JU000016	5
6746	YU000139	5
6746	YU000140	5
53610	YU000359	5
